year,production
1980,59463.8
1981,55958.4
1982,53367.3
1983,53166.6
1984,54417.6
1985,53882.6
1986,56242.17
1987,56572.17
1988,58615.45
1989,59725.36
1990,60424.25
1991,60126.34
1992,60097.77
1993,60173.79
1994,61175.25
1995,62430.25
1996,63816.35
1997,65797.55
1998,67022.85
1999,65898.06
2000,68343.04
2001,67921.63
2002,67050.84
2003,69189.99
2004,72249.6
2005,73516.23
2006,73099.73
2007,72698.83
2008,73583.73
2009,72385.33
2010,74166.13
2011,74281.63
2012,76047.63
2013,75996.83
2014,77724.3
2015,79784.3